03-08 11:41:39.864  1405  1405 I A01a01/NC: NotificationConfigManager: get icon from iconResourceManager success, isSave: false, com.example.myapplication, data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAF8AAABfCAYAAACOTBv1AAAAAXNSR0IArs4c6QAAAARzQklUCAgICHwIZIgAABpSSURBVHhezV1pjB1Vdr5V9bZeXne7293eF8A2mxmbbYyxGWCQZiZoEs1IERMSIqJI8zcSUqT8QEIs4jfKv/zJSDORmIiEaGakJH9mwIABe2CCGWyDu22MbTBud3t7vb6lqnLOrXvr3eXcevW622ZKqu6qs3znnK9u3dpuvfLY0ibv+eefL4PrgO/76+I4HoN5BJaH4P8gzH2gQ33F87wA1j1YLiwt1Dfi1YK8Ie04hOiLMNdhfQ7mayC7BuvTsHwxiqKvYbkGXNThf9xtpkhK7gmCFIrF4mi93toZBT13zMcD22fY8NjV1qrR+XhwYJH19ze83t5GXO4J40Ip8orFMPYLccw85vk+/OsqHvjlmriZw9YSWwIjBLaUOIog09jzolbAms0CazWKXn2hxObne/zZ2T7vWm0ouDLV712aqvoz4364cLxcLhxtNptTwFErV9JglIuM1157LRgfH1/fCMMH62xwz2S4advFaOvmK/HomnrcV+VEs6CAFCeBc8GSOX4zhCepZG6XdmKxz8JW4LUaFTY3M+RPTa4rfnF2bXDuZNm7drgUBO/t2LHj/BNPPIF7TebUkSXYkgOMBfsXWP9jX4Y7dn4Zbd82w1avbUalHmjIHf0zo4PyupCNQTOZTPSdTDhMJyPYU4p+Y2HQn76wMZg4ubk4frSXzf6OsfAgcFfLqj9wKXHva7VaW1hQ/quL8U1/fjzct+9sdMeuuXhoNGKF0nKJ71iUSCzLjuSFFLY3hkut8pAV0+QL+iYvZIXifFQduhyt33AlHBst+/V1vX5t5KF9ey+8/fbbtRdeeMF04+tky4Ut5gdBcOtiWP7rz8O7Hvg83r0bwIfB3CdRcgjzFsTJIRgiRKRdmopwIP3MfMEol53w02wtxzjq82cubwuOHNle/uRQJai/GobhCeA0MsNaZGKLB+Pb58LS05+FDzw6Ht3/ABC/einEI+FyNgOr65h/amcUw3WWsSlss5LGdJikUEpuFn9qPIGT5og6mRThCCcV/mxYXf1p8/4HjjYeeHSuWXoa+RRnfBqy2e3gnrAp9PufPhHuffiLcOc9TVaB00ZyBzFSzNE/Kh6uPYGox90skUDAxOxIPzNDYW+KqXUNrwO4beuxkBVLtWhktMXKxbHiVP8bv/3fU++88452DNDIx4Nr7Jd+8nm4+7FT0e77EuKp1NoyF4mmF0/QUQQpJoVtDJdaiwtGueyo1DIcNVWGXQuOBTPhquHAb7Gx0jR79JHvfHrgwAG8JuBT2u3g6SSc3e6bjrfsPxXt2t2IK/1aIZigCNSpO0nthA9fl75iUYrS3FWBWZDQ8bhtKDO9ZB1t5ExbpFI1pNaVGPFVu1RFJELZ1YHHifqu3ZOtLfvxrBF5lgmkC3BuurFRGHryaPPB/VfjtZtgZ+Z9Te6WjZEd+79RS0qSkxvhQPqpTnnthI+FZwna4Joqrx0nzKzKY3DRWVmMy8FYcK41/fXp47L74eTjlatXKHz/TLjzB+fiO7+FF00mBLWetWGsHMjEDFRwIv3M4DntSCxCSIiSiISCEJFJ63aeV4/6+ireQn20PDn96COPnIDuJ5LdzlidDe35MrptWyOEi6eMKavLwYByTiFIodAKXa5uAmxz2ak5qLGtxAh+TXuFB829GzvEAPtGVOw509y+vR4P7QHJGIqRfA/6+jsnw83bavHIWuriiccSxSv58EU1D0uASnUSxiqJpklqLuLlIVzNgeNJgRFeVaUmqrNib2E6cEk7aav+x7ty0eiaL5ubtiPfoPIC6HIqLa/n8Ynw7oevhms2IvlpAY7kNTE3bk94pChCZ4ZzATYtzoExSzn1X9r64MOJJ3JAkSU3BIiDOXSMjXmKOUB74ZPkltysipTLIyuuzI9QtEXJqXoENxkDL1zcUDp7/rFH9h/B27wDeHfyaji6ht91zAQRkQib/orH7t3qs3tgXjvksWJ6HuVgzw3FNSEUfLEWsz+ejdnhUyG7MhcnqRGxZQTc8JtHfLZ3e8BuW++xAehA/Q6XKAhnnScoMRYajJ2eitj7ExH79HzEGuo9S8XOxgFUbD2YlLBDfpHn2XBg+6pgYaCA9+OvNYbGFuHuJBZB1kYKZcmM3TTqs797qMD2bAtYpdiWr8TS9+5isAF89rO3W+zouYjMD9MrQYt9bGeBPbUvYBuHfd7iV2raf2vAfnh3zP77oxZ79b2QXZtvE9JeMtotV2jE83QWot7qDFx8rQom1/rwQGB01hsdwSsyi2MUWEIhAzlu2I2rPPaPjxfZd25beeIx2RLsm/fdHLB/+mERWnObUZka/sfW/YNdBfYP3yuwLatXkHgRBPeM4T6PPflgkf300QLrLSdE42OKdFITAmKM1YRHELbiUulKNAK3a9gYVrN6Lq4OhMwPdI82broBBOESGIn5y28X2B0bfHFVoPis8CKS+jcPFlifKFzNdSvontpXYNWeDn1MnpxU1gx7PA78GWzkh6Ghpa0aH9LxB3Upv5CaaPESS8GBh0vBbKsKt+nZauh1/KH5sFoFD31HVZLgi0i8kcwW6F/3wS65/Lv6BrBj9b6bfb6h1UQw9iN3BGwdHGeWNKlkmwUSgD1wBfT9b/msB7rX1BW5ycAxVP5c1F9F3n242zZYj3t7Xa3bmQ8oblnj893xRk24u9+O5MMkCyoVQAYH164agMrGEpK/CTqMsQGldRMYzhCggAuuXuQdnq/GffjMNd1VCCAp4ltXmYb7PYanhDdqws28Ch/NywnyKUPXN9TboQE4W9DSMu+F1p90cTpwVpg2dx6DWw09yDueapZbcLAl0wC0LEA80HUom4RdjjA9dVQSI08nsxJfTgLgi09PZUwqDJdRChEXT25gEdsNK8NBID1BNFt3Vp4Z+Fluy9ZRx5+sYpcdkADA2rX6YSUvH60oQL4rBdiKhSguFPI6pnZWdCLD6y36JnNAsvOShjwIW/wXeQHyHmCf70WOwxWJTQqvN8sCXyVbKeaGpwQBO8ZUDEzbCJ66I+98C0Avph02NWPT8wbxrIUxcsABcOJmwzeRjTtmBuF6PZxv6G5wgBa0/NSvA9kd1O7EutFkBElU0kAc7jPsuwm7JNvchLfRZU/Dx09m9V1WXZZgSSnrTkvBlFeVS/FdgZSx38niTe2XXClag1ctQ0uQZI5ihypfaUt15kWTN1/zxV2GlUzZmbpQOPUYW1Gm5GsOGd557awaMzAt2zwCibfSuEZsFzzFg2VrCRJwKb6+3Y4jeB5uM20UXO3OYqZTPmXulMGQ7HYIAELEk9G6HZcR1b+QtqQwX9HdWGGYlQy1bCwDwIlnKJKWb1bu8CbFpNAEvH7rSw2/VD+tkjykE4GkqN3yHUZ4MqepcEUIyd3u+vHMkTE8n2VSRN5UCjnNKFdSJvNwKhWFK3ZCvqFVV9NlUkiG/pMSugpfdpIZfHSMKQzobgczIxAI0bJrWBJARiIZqiWFynRSgmXGNezknWD9PJ9ASESy85H9DaZ0o28mCxpkjuI//pNzJlErrMyMafBo0irXrW7HNGx38CrZyTIOq8C+t6unSMsgAXNbaCYxZZ4hvPlUB9mNnFpRzBpmTJGQzZ+dmTxe8Rtq6CDnxFQSDf+5ok08nldzEfw5eylii2YSdqwVkWBMHMtzZkq/pbbQiNnZ6Twlr0gaHGQKxhPhmCKVOJ0/PRZypc5S63xozgnX8ZMzDCXKifMxm7hgve2yYlXKUJLary7H7MgZffhYC1r+ezCg6Ua1fiTx8MmIXZ7Vh4eYRVNkmzba0+ikVbdbNt89TAaECIEuwyiy1w6HbGZR0mPC51s3wyjbNwWow0ix138fsnOXoGgw4LPI5dB4xN7+NGTQG1z36eRkxH71QcT3QnXiu
03-08 11:41:39.865  1405  1405 I A01a01/NC: RdbStore: Get rdb store in 1 times begin
03-08 11:41:39.865  1405  1405 I A01a01/NC: RdbStore: await get store promise start
03-08 11:41:39.883  1405 28500 I A01a01/NC: RdbStore: Close store success
03-08 11:41:39.897  1405  1405 W A01b00/SCB: DbCache --> setIconResourceBatch, tableName: icon_info insert: 74 iconInfo.iconType normal,bundleName com.example.myapplication combinePicLength:9122, foregroundLength:undefined, backgroundLength:undefined
03-08 11:41:39.929  1405  1405 W A01b00/SCB: BundleManagerFwk --> getIconResourceFromFwk for com.example.myapplication entry EntryAbility  0 false  undefined false end
03-08 11:41:39.929  1405  1405 I A01b00/SCB: MemoryCache --> setIconResource cacheKey com.example.myapplication#entryEntryAbility0, iconInfo.iconType adaptive, iconInfo.combinePicSrc 13458
03-08 11:41:39.929  1405  1405 W A01b00/SCB: MemoryCache --> setCacheIconPicTypeToMemory: cacheKey com.example.myapplication#entryEntryAbility0 iconType adaptive, foregroundLength:3146, backgroundLength:13142, combinePicLength:13458
03-08 11:41:39.930  1405  1405 W A01b00/SCB: IconResourceManager: combinePicSrc is empty: false, bundleName: com.example.myapplication, combinePicLength:13458, lastClearAppResourceCacheTag:None
03-08 11:41:39.930  1405  1405 I A01b0a/GESTURE: GestureDockPreferenceUtil: getDockApps appEventListener: launcher.event.EVENT_REQUEST_RECOMMEND_FORM_ADD, params: com.example.myapplication
